A,B,M.AB,M.BA,K.AB,K.BA,COF.AB,COF.BA
0,0,0.088,0.088,4.78,4.78,0.541,0.541
0,0.05,0.087,0.089,4.8,4.82,0.545,0.541
0,0.1,0.087,0.09,4.83,4.94,0.553,0.541
0,0.15,0.085,0.093,4.87,5.12,0.567,0.54
0,0.2,0.084,0.096,4.93,5.36,0.585,0.537
0,0.25,0.082,0.1,5,5.68,0.606,0.534
0.05,0.05,0.088,0.088,4.84,4.84,0.545,0.545
0.05,0.1,0.087,0.09,4.87,4.95,0.553,0.544
0.05,0.15,0.085,0.093,4.91,5.13,0.567,0.543
0.05,0.2,0.084,0.096,4.97,5.38,0.584,0.541
0.05,0.25,0.082,0.1,5.05,5.7,0.606,0.537
0.1,0.1,0.089,0.089,4.98,4.98,0.553,0.533
0.1,0.15,0.088,0.092,5.03,5.16,0.566,0.551
0.1,0.2,0.086,0.094,5.09,5.42,0.584,0.549
0.1,0.25,0.084,0.099,5.17,5.47,0.606,0.546
0.15,0.15,0.09,0.09,5.22,5.22,0.565,0.565
0.15,0.2,0.089,0.094,5.28,5.47,0.583,0.563
0.15,0.25,0.087,0.097,5.37,5.8,0.604,0.559
0.2,0.2,0.092,0.092,5.55,5.55,0.580,0.58
0.2,0.25,0.09,0.096,5.64,5.88,0.602,0.577
0.25,0.25,0.094,0.094,5.98,5.98,0.598,0.598

